,mll_annotation,prediction,ID,im_tiffname
1031,myeloblast,myeloblast,SBY,309.TIF
1032,other,smudge cell,UVT,071.TIF
1033,typical lymphocyte,plasma cell,UGU,457.TIF
1034,ambiguous,atypical promyelocyte,BHS,137.TIF
1035,other,myelocyte,PKC,483.TIF
1036,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,300.TIF
1037,other,other,PKC,278.TIF
1038,monocyte,large granulated lymphocyte,UGU,271.TIF
1039,other,other,UGU,056.TIF
1040,normo,normo,PKC,386.TIF
1041,monocyte,metamyelocyte,PKC,152.TIF
1042,monocyte,typical lymphocyte,BHS,194.TIF
1043,other,smudge cell,UVT,403.TIF
1044,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,328.TIF
1045,normo,normo,PKC,440.TIF
1046,atypical promyelocyte,atypical promyelocyte,PKC,206.TIF
1047,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,359.TIF
1048,atypical promyelocyte,atypical promyelocyte,BHS,467.TIF
1049,atypical promyelocyte,atypical promyelocyte,PKC,436.TIF
1050,myeloblast,myeloblast,SBY,054.TIF
1051,typical lymphocyte,basophil granulocyte,BHS,440.TIF
1052,myeloblast,myeloblast,SBY,080.TIF
1053,myeloblast with auer rod,myeloblast,UGU,147.TIF
1054,myeloblast,myeloblast,SBY,457.TIF
1055,large granulated lymphocyte,large granulated lymphocyte,UGU,050.TIF
1056,myeloblast,myeloblast,SBY,239.TIF
1057,other,atypical promyelocyte,PKC,115.TIF
1058,typical lymphocyte,plasma cell,UGU,189.TIF
1059,myeloblast,myeloblast,UVT,195.TIF
1060,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,075.TIF
1061,myeloblast,myeloblast,UGU,339.TIF
1062,typical lymphocyte,typical lymphocyte,BHS,134.TIF
1063,myeloblast,atypical promyelocyte,BHS,303.TIF
1064,monocyte,neutrophil granulocyte (segmented),UGU,354.TIF
1065,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,418.TIF
1066,typical lymphocyte,typical lymphocyte,BHS,150.TIF
1067,myeloblast,myeloblast,UGU,151.TIF
1068,typical lymphocyte,typical lymphocyte,UGU,019.TIF
1069,monocyte,myeloblast,UGU,187.TIF
1070,monocyte,monocyte,SBY,289.TIF
1071,monocyte,monocyte,PKC,334.TIF
1072,promonocyte,myeloblast,UVT,091.TIF
1073,myeloblast,mononucleosis,SBY,466.TIF
1074,promonocyte,myeloblast,UVT,306.TIF
1075,myeloblast,myeloblast,SBY,409.TIF
1076,myeloblast,myeloblast,UVT,258.TIF
1077,myeloblast,myeloblast,SBY,373.TIF
1078,atypical promyelocyte,atypical promyelocyte,BHS,088.TIF
1079,typical lymphocyte,typical lymphocyte,UGU,181.TIF
1080,large granulated lymphocyte,large granulated lymphocyte,UGU,046.TIF
1081,atypical promyelocyte,atypical promyelocyte,PKC,437.TIF
1082,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,223.TIF
1083,other,large granulated lymphocyte,UGU,066.TIF
1084,other,other,SBY,211.TIF
1085,monocyte,neutrophil granulocyte (segmented),PKC,430.TIF
1086,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,170.TIF
1087,myeloblast,atypical promyelocyte,SBY,478.TIF
1088,other,large granulated lymphocyte,UGU,397.TIF
1089,myeloblast,myeloblast,UGU,332.TIF
1090,myeloblast,myeloblast,SBY,171.TIF
1091,myeloblast,myeloblast,UVT,107.TIF
1092,faggot cell,atypical promyelocyte,BHS,107.TIF
1093,atypical promyelocyte,atypical promyelocyte,PKC,055.TIF
1094,cup-like blast,typical lymphocyte,SBY,481.TIF
1095,myeloblast,bilobed M3v,SBY,181.TIF
1096,other,normo,PKC,175.TIF
1097,other,other,BHS,487.TIF
1098,atypical promyelocyte,atypical promyelocyte,PKC,245.TIF
1099,neutrophil granulocyte (band),neutrophil granulocyte (band),BHS,030.TIF
1100,monocyte,large granulated lymphocyte,UGU,224.TIF
1101,normo,normo,UVT,269.TIF
1102,neutrophil granulocyte (segmented),other,BHS,225.TIF
1103,other,atypical promyelocyte,BHS,357.TIF
1104,monocyte,monocyte,SBY,340.TIF
1105,typical lymphocyte,other,BHS,266.TIF
1106,myeloblast,myeloblast,SBY,025.TIF
1107,myeloblast,myeloblast,UVT,436.TIF
1108,monocyte,large granulated lymphocyte,UGU,370.TIF
1109,cup-like blast,myeloblast,UVT,494.TIF
1110,other,typical lymphocyte,UGU,319.TIF
1111,normo,normo,BHS,477.TIF
1112,myeloblast,myeloblast,SBY,121.TIF
1113,myeloblast,mononucleosis,SBY,324.TIF
1114,myeloblast,myeloblast,SBY,331.TIF
1115,atypical promyelocyte,atypical promyelocyte,BHS,420.TIF
1116,atypical promyelocyte,atypical promyelocyte,BHS,257.TIF
1117,monocyte,mononucleosis,SBY,247.TIF
1118,other,other,PKC,195.TIF
1119,other,basophil granulocyte,BHS,103.TIF
1120,monocyte,metamyelocyte,BHS,043.TIF
1121,typical lymphocyte,typical lymphocyte,SBY,026.TIF
1122,monocyte,myeloblast,UGU,478.TIF
1123,large granulated lymphocyte,large granulated lymphocyte,UGU,248.TIF
1124,other,other,BHS,250.TIF
1125,other,typical lymphocyte,BHS,388.TIF
1126,typical lymphocyte,typical lymphocyte,SBY,126.TIF
1127,other,other,PKC,327.TIF
1128,myeloblast,atypical promyelocyte,BHS,124.TIF
1129,monocyte,neutrophil granulocyte (segmented),UGU,293.TIF
1130,cup-like blast,myeloblast,UVT,012.TIF
1131,other,other,PKC,264.TIF
1132,myeloblast,myeloblast,UVT,049.TIF
1133,typical lymphocyte,typical lymphocyte,PKC,254.TIF
1134,other,other,BHS,483.TIF
1135,other,neutrophil granulocyte (segmented),PKC,422.TIF
1136,reactive lymphocyte,mononucleosis,SBY,206.TIF
1137,myeloblast,myeloblast,SBY,094.TIF
1138,atypical promyelocyte,promyelocyte,SBY,265.TIF
1139,other,metamyelocyte,BHS,067.TIF
1140,other,smudge cell,UVT,187.TIF
1141,other,other,UGU,400.TIF
1142,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,365.TIF
1143,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,202.TIF
1144,other,monocyte,UVT,156.TIF
1145,myeloblast,myeloblast,UGU,327.TIF
1146,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,378.TIF
1147,myeloblast,myeloblast,UVT,419.TIF
1148,other,myelocyte,PKC,271.TIF
1149,reactive lymphocyte,typical lymphocyte,SBY,037.TIF
1150,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,307.TIF
1151,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,459.TIF
1152,other,other,UGU,115.TIF
1153,reactive lymphocyte,large granulated lymphocyte,UGU,309.TIF
1154,atypical promyelocyte,atypical promyelocyte,BHS,199.TIF
1155,large granulated lymphocyte,large granulated lymphocyte,UGU,434.TIF
1156,myeloblast,myeloblast,SBY,268.TIF
1157,other,other,PKC,135.TIF
1158,neutrophil granulocyte (segmented),neutrophil granulocyte (band),BHS,076.TIF
1159,other,typical lymphocyte,BHS,092.TIF
1160,other,smudge cell,SBY,079.TIF
1161,other,typical lymphocyte,BHS,238.TIF
1162,other,smudge cell,UVT,024.TIF
1163,myeloblast,myeloblast,SBY,051.TIF
1164,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,462.TIF
1165,other,smudge cell,BHS,129.TIF
1166,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,161.TIF
1167,monocyte,basophil granulocyte,PKC,183.TIF
1168,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,164.TIF
1169,typical lymphocyte,typical lymphocyte,BHS,051.TIF
1170,normo,normo,PKC,477.TIF
1171,monocyte,monocyte,UVT,109.TIF
1172,other,other,UVT,277.TIF
1173,monocyte,mononucleosis,PKC,272.TIF
1174,typical lymphocyte,typical lymphocyte,UGU,344.TIF
1175,myeloblast,myeloblast,SBY,202.TIF
1176,myeloblast,myeloblast,PKC,266.TIF
1177,myeloblast,myeloblast,UVT,472.TIF
1178,other,other,BHS,253.TIF
1179,myeloblast,atypical promyelocyte,UGU,113.TIF
1180,myeloblast,myeloblast,UVT,019.TIF
1181,myeloblast,myeloblast,UVT,272.TIF
1182,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,320.TIF
1183,myeloblast,myeloblast,SBY,216.TIF
1184,other,smudge cell,SBY,441.TIF
1185,myeloblast,myeloblast,UVT,474.TIF
1186,other,other,PKC,325.TIF
1187,cup-like blast,myeloblast,UVT,063.TIF
1188,atypical promyelocyte,atypical promyelocyte,BHS,288.TIF
1189,atypical promyelocyte,atypical promyelocyte,BHS,154.TIF
1190,typical lymphocyte,typical lymphocyte,SBY,440.TIF
1191,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,231.TIF
1192,other,other,UGU,323.TIF
1193,myeloblast,reactive lymphocyte,UVT,017.TIF
1194,promonocyte,monocyte,SBY,336.TIF
1195,promonocyte,atypical promyelocyte,PKC,038.TIF
1196,atypical promyelocyte,atypical promyelocyte,BHS,336.TIF
1197,monocyte,typical lymphocyte,UVT,367.TIF
1198,myeloblast,myeloblast,UGU,042.TIF
1199,myeloblast,myeloblast,UGU,288.TIF
1200,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,261.TIF
1201,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,316.TIF
1202,other,smudge cell,BHS,270.TIF
1203,other,other,BHS,411.TIF
1204,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,359.TIF
1205,other,neutrophil granulocyte (segmented),UGU,388.TIF
1206,myeloblast,myeloblast,SBY,259.TIF
1207,monocyte,neutrophil granulocyte (segmented),UGU,246.TIF
1208,typical lymphocyte,typical lymphocyte,BHS,184.TIF
1209,myeloblast with auer rod,atypical promyelocyte,BHS,269.TIF
1210,other,neutrophil granulocyte (segmented),PKC,259.TIF
1211,reactive lymphocyte,typical lymphocyte,UGU,201.TIF
1212,atypical promyelocyte,monocyte,BHS,068.TIF
1213,normo,normo,UVT,090.TIF
1214,"atypical promyelocyte, bilobed",atypical promyelocyte,PKC,144.TIF
1215,atypical promyelocyte,atypical promyelocyte,BHS,080.TIF
1216,atypical promyelocyte,atypical promyelocyte,BHS,198.TIF
1217,myeloblast,myeloblast,SBY,219.TIF
1218,promonocyte,atypical promyelocyte,PKC,025.TIF
1219,atypical promyelocyte,atypical promyelocyte,BHS,389.TIF
1220,myeloblast,myeloblast,UVT,482.TIF
1221,other,myelocyte,PKC,233.TIF
1222,myeloblast with auer rod,atypical promyelocyte,BHS,471.TIF
1223,atypical promyelocyte,atypical promyelocyte,PKC,098.TIF
1224,neutrophil granulocyte (band),neutrophil granulocyte (band),UGU,032.TIF
1225,monocyte,metamyelocyte,BHS,100.TIF
1226,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,489.TIF
1227,monocyte,other,BHS,016.TIF
1228,myeloblast,myeloblast,UVT,429.TIF
1229,neutrophil granulocyte (band),neutrophil granulocyte (segmented),PKC,322.TIF
1230,other,other,BHS,044.TIF
1231,other,neutrophil granulocyte (segmented),PKC,116.TIF
1232,other,other,PKC,117.TIF
1233,other,smudge cell,UGU,192.TIF
1234,faggot cell,atypical promyelocyte,PKC,247.TIF
1235,myeloblast,myeloblast,SBY,072.TIF
1236,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,293.TIF
1237,other,other,BHS,485.TIF
1238,other,normo,UVT,485.TIF
1239,myeloblast,mononucleosis,UGU,004.TIF
1240,myeloblast,myeloblast,SBY,438.TIF
1241,reactive lymphocyte,typical lymphocyte,SBY,018.TIF
1242,typical lymphocyte,typical lymphocyte,PKC,130.TIF
1243,typical lymphocyte,typical lymphocyte,UVT,343.TIF
1244,myeloblast,myeloblast,SBY,139.TIF
1245,metamyelocyte,neutrophil granulocyte (band),PKC,380.TIF
1246,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,124.TIF
1247,reactive lymphocyte,myeloblast,UGU,218.TIF
1248,atypical promyelocyte,atypical promyelocyte,PKC,219.TIF
1249,myeloblast,myeloblast,SBY,047.TIF
1250,myeloblast,myeloblast,UVT,080.TIF
1251,other,other,BHS,323.TIF
1252,reactive lymphocyte,reactive lymphocyte,UGU,134.TIF
1253,large granulated lymphocyte,large granulated lymphocyte,UGU,413.TIF
1254,myeloblast,myeloblast,UVT,216.TIF
1255,atypical promyelocyte,atypical promyelocyte,BHS,019.TIF
1256,myeloblast,myeloblast,SBY,144.TIF
1257,metamyelocyte,basophil granulocyte,UVT,230.TIF
1258,other,neutrophil granulocyte (segmented),PKC,032.TIF
1259,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,456.TIF
1260,other,atypical promyelocyte,BHS,475.TIF
1261,other,typical lymphocyte,BHS,293.TIF
1262,reactive lymphocyte,myeloblast,UGU,209.TIF
1263,other,mononucleosis,UGU,034.TIF
1264,monocyte,metamyelocyte,PKC,005.TIF
1265,other,atypical promyelocyte,PKC,295.TIF
1266,myeloblast,myeloblast,UVT,051.TIF
1267,other,atypical promyelocyte,BHS,161.TIF
1268,typical lymphocyte,typical lymphocyte,UGU,468.TIF
1269,other,atypical promyelocyte,BHS,348.TIF
1270,monocyte,metamyelocyte,BHS,368.TIF
1271,monocyte,myeloblast,UVT,251.TIF
1272,myeloblast,myeloblast,UVT,340.TIF
1273,typical lymphocyte,typical lymphocyte,SBY,388.TIF
1274,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,012.TIF
1275,other,other,BHS,298.TIF
1276,atypical promyelocyte,myeloblast,PKC,394.TIF
1277,monocyte,monocyte,PKC,279.TIF
1278,other,smudge cell,SBY,127.TIF
1279,other,typical lymphocyte,PKC,112.TIF
1280,other,other,BHS,114.TIF
1281,other,other,PKC,176.TIF
1282,eosinophil granulocyte,eosinophil granulocyte,SBY,015.TIF
1283,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,409.TIF
1284,myeloblast,atypical promyelocyte,PKC,125.TIF
1285,other,other,BHS,340.TIF
1286,typical lymphocyte,typical lymphocyte,PKC,420.TIF
1287,monocyte,large granulated lymphocyte,UGU,335.TIF
1288,monocyte,monocyte,BHS,201.TIF
1289,monocyte,myelocyte,PKC,400.TIF
1290,other,other,BHS,185.TIF
1291,other,smudge cell,UVT,114.TIF
1292,monocyte,metamyelocyte,PKC,100.TIF
1293,typical lymphocyte,typical lymphocyte,SBY,407.TIF
1294,other,basophil granulocyte,UVT,424.TIF
1295,reactive lymphocyte,typical lymphocyte,UVT,311.TIF
1296,other,neutrophil granulocyte (segmented),UGU,279.TIF
1297,other,smudge cell,BHS,073.TIF
1298,large granulated lymphocyte,reactive lymphocyte,UGU,123.TIF
1299,myeloblast,myeloblast,SBY,447.TIF
1300,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,431.TIF
1301,neutrophil granulocyte (segmented),neutrophil granulocyte (band),PKC,160.TIF
1302,myeloblast,myeloblast,SBY,473.TIF
1303,myeloblast,myeloblast,SBY,296.TIF
1304,monocyte,neutrophil granulocyte (band),PKC,184.TIF
1305,cup-like blast,myeloblast,UVT,283.TIF
1306,reactive lymphocyte,typical lymphocyte,SBY,351.TIF
1307,typical lymphocyte,typical lymphocyte,SBY,319.TIF
1308,other,other,PKC,205.TIF
1309,myeloblast,myeloblast,SBY,346.TIF
1310,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,396.TIF
1311,promonocyte,myeloblast,UVT,038.TIF
1312,other,other,BHS,316.TIF
1313,atypical promyelocyte,bilobed M3v,PKC,351.TIF
1314,atypical promyelocyte,atypical promyelocyte,BHS,295.TIF
1315,"atypical promyelocyte, bilobed",atypical promyelocyte,BHS,031.TIF
1316,typical lymphocyte,typical lymphocyte,SBY,040.TIF
1317,other,other,UGU,092.TIF
1318,other,other,BHS,204.TIF
1319,monocyte,atypical promyelocyte,PKC,413.TIF
1320,monocyte,neutrophil granulocyte (band),UVT,117.TIF
1321,atypical promyelocyte,atypical promyelocyte,PKC,191.TIF
1322,ambiguous,myeloblast,UGU,223.TIF
1323,myeloblast,myeloblast,SBY,165.TIF
1324,other,other,UVT,100.TIF
1325,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,478.TIF
1326,other,smudge cell,UGU,445.TIF
1327,other,other,BHS,311.TIF
1328,monocyte,monocyte,PKC,302.TIF
1329,other,other,PKC,292.TIF
1330,eosinophil granulocyte,eosinophil granulocyte,SBY,253.TIF
1331,other,normo,PKC,163.TIF
1332,atypical promyelocyte,atypical promyelocyte,BHS,089.TIF
1333,monocyte,neutrophil granulocyte (segmented),PKC,353.TIF
1334,other,smudge cell,UVT,375.TIF
1335,myeloblast,myeloblast,UVT,414.TIF
1336,monocyte,monocyte,UGU,186.TIF
1337,other,other,UVT,430.TIF
1338,monocyte,atypical promyelocyte,SBY,370.TIF
1339,myeloblast,myeloblast,SBY,049.TIF
1340,myeloblast,myeloblast,SBY,333.TIF
1341,monocyte,metamyelocyte,PKC,284.TIF
1342,reactive lymphocyte,plasma cell,UGU,127.TIF
1343,normo,normo,UVT,445.TIF
1344,monocyte,monocyte,PKC,192.TIF
1345,other,neutrophil granulocyte (segmented),PKC,218.TIF
1346,monocyte,hair cell,SBY,053.TIF
1347,monocyte,myeloblast,UGU,118.TIF
1348,myeloblast,myeloblast,SBY,485.TIF
1349,monocyte,typical lymphocyte,BHS,304.TIF
1350,myeloblast,myeloblast,SBY,418.TIF
1351,cup-like blast,myeloblast,SBY,052.TIF
1352,large granulated lymphocyte,large granulated lymphocyte,UGU,474.TIF
1353,typical lymphocyte,typical lymphocyte,UVT,384.TIF
1354,monocyte,myeloblast,UVT,025.TIF
1355,myeloblast,myeloblast,UVT,036.TIF
1356,other,myelocyte,PKC,059.TIF
1357,myeloblast,myeloblast,UGU,054.TIF
1358,atypical promyelocyte,atypical promyelocyte,PKC,208.TIF
1359,other,other,UVT,408.TIF
1360,other,smudge cell,UVT,184.TIF
1361,myeloblast,atypical promyelocyte,BHS,142.TIF
1362,monocyte,atypical promyelocyte,BHS,279.TIF
1363,large granulated lymphocyte,large granulated lymphocyte,UGU,055.TIF
1364,myeloblast,myeloblast,UGU,242.TIF
1365,atypical promyelocyte,atypical promyelocyte,BHS,390.TIF
1366,myeloblast,myeloblast,SBY,357.TIF
1367,other,atypical promyelocyte,BHS,296.TIF
1368,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,403.TIF
1369,neutrophil granulocyte (segmented),basophil granulocyte,PKC,447.TIF
1370,other,smudge cell,UVT,205.TIF
1371,other,bilobed M3v,PKC,479.TIF
1372,reactive lymphocyte,large granulated lymphocyte,UGU,003.TIF
1373,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,362.TIF
1374,atypical promyelocyte,myeloblast,PKC,071.TIF
1375,typical lymphocyte,typical lymphocyte,UGU,057.TIF
1376,other,other,PKC,109.TIF
1377,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,421.TIF
1378,myelocyte,myelocyte,BHS,315.TIF
1379,ambiguous,mononucleosis,SBY,427.TIF
1380,other,other,SBY,246.TIF
1381,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,339.TIF
1382,other,smudge cell,SBY,223.TIF
1383,myeloblast,myeloblast,UVT,011.TIF
1384,other,other,UVT,163.TIF
1385,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,347.TIF
1386,typical lymphocyte,typical lymphocyte,UGU,146.TIF
1387,other,other,UVT,484.TIF
1388,myeloblast,myeloblast,UGU,143.TIF
1389,myeloblast,myeloblast,SBY,174.TIF
1390,monocyte,typical lymphocyte,BHS,324.TIF
1391,neutrophil granulocyte (band),neutrophil granulocyte (band),PKC,002.TIF
1392,other,other,UGU,261.TIF
1393,myeloblast,myeloblast,UGU,305.TIF
1394,other,other,UVT,364.TIF
1395,cup-like blast,myeloblast,UVT,470.TIF
1396,myeloblast,myeloblast,UVT,432.TIF
1397,monocyte,atypical promyelocyte,PKC,409.TIF
1398,monocyte,atypical promyelocyte,PKC,101.TIF
1399,other,other,BHS,268.TIF
1400,monocyte,myeloblast,UGU,139.TIF
1401,monocyte,monocyte,PKC,058.TIF
1402,atypical promyelocyte,atypical promyelocyte,BHS,416.TIF
1403,monocyte,myeloblast,UVT,087.TIF
1404,reactive lymphocyte,large granulated lymphocyte,UGU,464.TIF
1405,typical lymphocyte,typical lymphocyte,UVT,321.TIF
1406,typical lymphocyte,typical lymphocyte,UGU,035.TIF
1407,other,smudge cell,UGU,290.TIF
1408,other,myelocyte,PKC,252.TIF
1409,ambiguous,mononucleosis,UGU,076.TIF
1410,other,atypical promyelocyte,BHS,384.TIF
1411,other,myeloblast,UVT,104.TIF
1412,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,358.TIF
1413,monocyte,metamyelocyte,PKC,458.TIF
1414,other,other,UVT,405.TIF
1415,other,typical lymphocyte,UGU,361.TIF
1416,typical lymphocyte,myeloblast,SBY,345.TIF
1417,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,068.TIF
1418,monocyte,neutrophil granulocyte (segmented),PKC,339.TIF
1419,myeloblast,myeloblast,SBY,337.TIF
1420,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,174.TIF
1421,myeloblast,myeloblast,UVT,322.TIF
1422,myeloblast,myeloblast,SBY,224.TIF
1423,myeloblast,myeloblast,SBY,160.TIF
1424,other,smudge cell,UVT,332.TIF
1425,atypical promyelocyte,atypical promyelocyte,BHS,075.TIF
1426,typical lymphocyte,typical lymphocyte,SBY,487.TIF
1427,promonocyte,myeloblast,SBY,120.TIF
1428,myeloblast,atypical promyelocyte,SBY,101.TIF
1429,other,other,UVT,027.TIF
1430,monocyte,myeloblast,UGU,029.TIF
1431,myeloblast,bilobed M3v,UGU,435.TIF
1432,other,typical lymphocyte,PKC,355.TIF
1433,other,other,PKC,187.TIF
1434,typical lymphocyte,typical lymphocyte,BHS,329.TIF
1435,other,atypical promyelocyte,BHS,214.TIF
1436,other,other,UGU,387.TIF
1437,monocyte,neutrophil granulocyte (band),PKC,169.TIF
1438,monocyte,atypical promyelocyte,PKC,194.TIF
1439,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,035.TIF
1440,typical lymphocyte,typical lymphocyte,SBY,065.TIF
1441,typical lymphocyte,typical lymphocyte,UVT,328.TIF
1442,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,186.TIF
1443,other,myeloblast,UVT,081.TIF
1444,typical lymphocyte,typical lymphocyte,UGU,315.TIF
1445,monocyte,neutrophil granulocyte (band),UVT,215.TIF
1446,myeloblast,myeloblast,UGU,213.TIF
1447,other,other,BHS,371.TIF
1448,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,326.TIF
1449,ambiguous,myeloblast,SBY,046.TIF
1450,other,smudge cell,UVT,309.TIF
1451,monocyte,typical lymphocyte,UGU,077.TIF
1452,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,391.TIF
1453,typical lymphocyte,typical lymphocyte,BHS,358.TIF
1454,atypical promyelocyte,myeloblast,UVT,308.TIF
1455,monocyte,mononucleosis,UGU,195.TIF
1456,other,other,PKC,063.TIF
1457,monocyte,monocyte,UGU,391.TIF
1458,myeloblast,atypical promyelocyte,BHS,042.TIF
1459,other,other,SBY,363.TIF
1460,myeloblast,mononucleosis,SBY,004.TIF
1461,myeloblast,myeloblast,UGU,395.TIF
1462,other,monocyte,BHS,468.TIF
1463,typical lymphocyte,typical lymphocyte,SBY,480.TIF
1464,large granulated lymphocyte,large granulated lymphocyte,UVT,275.TIF
1465,atypical promyelocyte,myelocyte,PKC,024.TIF
1466,myeloblast,myeloblast,UGU,251.TIF
1467,other,smudge cell,UVT,210.TIF
1468,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,396.TIF
1469,atypical promyelocyte,atypical promyelocyte,BHS,081.TIF
1470,typical lymphocyte,typical lymphocyte,UGU,239.TIF
1471,monocyte,other,BHS,164.TIF
1472,typical lymphocyte,typical lymphocyte,PKC,408.TIF
1473,monocyte,neutrophil granulocyte (segmented),UGU,026.TIF
1474,myeloblast,atypical promyelocyte,SBY,414.TIF
1475,monocyte,mononucleosis,UGU,039.TIF
1476,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,069.TIF
1477,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,336.TIF
1478,myeloblast,typical lymphocyte,UGU,448.TIF
1479,other,smudge cell,UVT,121.TIF
1480,myeloblast,myeloblast,UGU,425.TIF
1481,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),PKC,471.TIF
1482,other,smudge cell,BHS,254.TIF
1483,myeloblast,myeloblast,SBY,412.TIF
1484,typical lymphocyte,typical lymphocyte,PKC,103.TIF
1485,typical lymphocyte,typical lymphocyte,SBY,063.TIF
1486,typical lymphocyte,typical lymphocyte,UGU,233.TIF
1487,other,metamyelocyte,PKC,141.TIF
1488,other,atypical promyelocyte,BHS,339.TIF
1489,monocyte,monocyte,SBY,477.TIF
1490,myeloblast,atypical promyelocyte,BHS,146.TIF
1491,other,eosinophil granulocyte,BHS,291.TIF
1492,other,other,PKC,056.TIF
1493,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UVT,486.TIF
1494,monocyte,monocyte,UVT,241.TIF
1495,myeloblast,myeloblast,SBY,020.TIF
1496,myeloblast,myeloblast,SBY,173.TIF
1497,atypical promyelocyte with auer rod,atypical promyelocyte,BHS,235.TIF
1498,myeloblast,myeloblast,UVT,483.TIF
1499,typical lymphocyte,metamyelocyte,BHS,405.TIF
1500,typical lymphocyte,typical lymphocyte,SBY,377.TIF
1501,myeloblast,myeloblast,UVT,122.TIF
1502,large granulated lymphocyte,large granulated lymphocyte,UGU,295.TIF
1503,other,smudge cell,SBY,392.TIF
1504,monocyte,other,BHS,478.TIF
1505,myeloblast,myeloblast,UGU,422.TIF
1506,other,plasma cell,BHS,145.TIF
1507,monocyte,myeloblast,UVT,143.TIF
1508,typical lymphocyte,typical lymphocyte,UVT,144.TIF
1509,other,smudge cell,SBY,162.TIF
1510,large granulated lymphocyte,large granulated lymphocyte,UGU,462.TIF
1511,other,neutrophil granulocyte (segmented),PKC,102.TIF
1512,monocyte,myelocyte,BHS,474.TIF
1513,other,myeloblast,BHS,066.TIF
1514,ambiguous,atypical promyelocyte,PKC,108.TIF
1515,monocyte,typical lymphocyte,PKC,474.TIF
1516,monocyte,myeloblast,UGU,231.TIF
1517,typical lymphocyte,typical lymphocyte,UGU,426.TIF
1518,other,other,UVT,307.TIF
1519,typical lymphocyte,typical lymphocyte,SBY,207.TIF
1520,other,basophil granulocyte,BHS,005.TIF
1521,typical lymphocyte,typical lymphocyte,BHS,320.TIF
1522,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),BHS,153.TIF
1523,typical lymphocyte,typical lymphocyte,UGU,145.TIF
1524,other,plasma cell,BHS,355.TIF
1525,monocyte,monocyte,SBY,215.TIF
1526,atypical promyelocyte,atypical promyelocyte,BHS,321.TIF
1527,atypical promyelocyte,atypical promyelocyte,BHS,166.TIF
1528,reactive lymphocyte,mononucleosis,SBY,078.TIF
1529,myeloblast,mononucleosis,SBY,290.TIF
1530,myeloblast,atypical promyelocyte,BHS,432.TIF
1531,neutrophil granulocyte (segmented),neutrophil granulocyte (segmented),UGU,296.TIF
1532,other,smudge cell,BHS,425.TIF
1533,monocyte,plasma cell,BHS,203.TIF
1534,monocyte,myeloblast,UVT,031.TIF
